ID	azelate	sebacate	undecanedionate	X2.hydroxymyristic.acid	arachidonic.acid	eicosatrienoic.acid	docosahexaenoic.acid	docosapentaenoic.acid	adrenic.acid	lithocholic.acid	chenodeoxycholate	deoxycholic.acid	ketodeoxycholate	alpha.muricholate	cholate	urobilin	linoleoyl.ethanolamide	stearoyl.ethanolamide	palmitoyl.glycerol	C18.0e.MAG	N.oleoylethanolamine	cholesterol	cholestenone	C16.0.LPC	C16.0.ceramide..d18.1.	C18.1.CE	C18.0.SM	propionate	butyrate...isobutytare.	methylbutyric.aid...valeric...isovaleric.	malonate	uracil	caproic.acid	nicotinate	taurine	thymine	erythronic.acid	hypoxanthine	phenylacetate	glutamate	hydrocinnamic.acid	xanthine	X3.methyladipate.pimelate	citrulline	fructose.glucose.galactose.	azelaic.acid	N.acetylglutamate	glucurote	pseudouridine	deoxyinosine	docosapentaenoate	lithocholate	chenodeoxycholate.deoxycholate.	putrescine	cytosine	N.acetylputrescine	nicotinic.acid	creatine	X2.hydroxyphenethylamine	imidazole.propionate	pyridoxamine	X7.methylguanine	X3.methylxanthine	dimethyllysine	N.acetylspermidine	trimethyllysine	N.acetylglutamic.acid	N.acetylhistidine	ADMA.SDMA.	ADMA	C2.carnitine	pantothenate	inosine	threosphingosine	diacetylspermine	phytosphingosine	C16.carnitine	C20.4.carnitine	bilirubin	urobilin.
Intercept	0.0171683879869949	0.0106365778399579	0.00727719522456812	0.00584331943956984	0.0250907850029894	0.0109828944140313	0.019967520092138	0.0122355611502403	0.00709454740477437	0.029981434698064	0.0190348160949544	0.0811709213747646	0.0234895359095492	0.018150505898789	0.0484003661366852	0.024367160857118	0.0194602666333477	0.00591183436556712	0.00847429943435076	0.00756906973915696	0.0120937163637775	0.0252218052601218	0.0311880722394136	0.024654924391369	0.0105472444812043	0.0102987506514571	0.00511918625091332	0.0151499386871964	0.0325945591665758	0.0289595866145325	0.00833339575934362	0.0241604695215952	0.0139379023139193	0.0133831813305441	0.0262665420998733	0.0127056713569126	0.0107108492228064	0.0245215159616387	0.00752820725750054	0.0610720862374246	0.0156582239246155	0.0379520218732272	0.00728143612191242	0.0191725547804917	0.0115662569123176	0.00717538798409245	0.015971490918609	0.00980511539455004	0.00688966586029158	0.00575205738505006	0.0188805248819614	0.0393619798548858	0.0561636139000665	0.00994707317937928	0.00514837156023681	0.014970622600653	0.0335675607086206	0.0246109372275006	0.0103937513667405	0.0201682521835418	0.0057634771956637	0.0173088463212519	0.00539811006924089	0.0124513681387829	0.0261270992212411	0.0183918310460404	0.00772592629585291	0.0154821874755861	0.0104923367973683	0.0120552372234065	0.00974002398297286	0.014401526920943	0.00914931218038262	0.0136036732939823	0.00975051237709677	0.00816710373413503	0.00485006173682717	0.0106476281624649	0.0186439884888285	0.0160051672332922
UniRef90_A0A015QXP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A015TIF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000220345615326622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.6149036226866e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A015UU70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.03976891475342e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A015VJT9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00128713900537298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A016AXG9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.05385549772326e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A016B4E0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A016KDX5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A016LWQ8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0497872142881e-05	0	0	4.19754758758511e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25121066954603e-05	0	0	0	0	0	0	0	0	0	0	2.5216693007964e-05	0	0
UniRef90_A0A023KWQ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000686399886244426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A023WJ96	0	0	0	0	0	-0.00013646092192285	0	0	0	0	0	0	0	0	0	0.000998997440400858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0003336081652292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000316184215081058
UniRef90_A0A023WJZ7	0	0	0	0	0	0	0	0	0	0.0013513236969554	0	0.00365352043848437	0	0	-0.000604177928682137	0	0	3.84048868577938e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000312297323346827	0	0	0	0	0	0	0	0	0	0.000332965332592424	0	0	0	0	0	0	0	0.00242262467342727	0.000598193003927598	0	0	0	0	-0.000683119350135416	0	0	0	0	0	0	0	0	0	0	0	0	-4.59018132749276e-05	0.000398775068719425	0	0	0	0	0	0	0	0
UniRef90_A1AII0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A4EB57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000226298220104308	0.000106210819197953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.87588615119667e-05	0	0	0	0	0	0	0
UniRef90_A4EB58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00028507938817946	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000599990561390111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.15134054744306e-06	0	0	0	0	0	0	0
